onset	duration	sample	trial_type	response_time	stim_file	value
1512.4880000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
1512.8320000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1513.1740000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1513.7420000000	n/a	n/a	Fixation	n/a	n/a	S100
1514.6720000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
1515.0120000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1515.4100000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
1515.9760000000	n/a	n/a	Fixation	n/a	n/a	S100
1516.8680000000	n/a	n/a	Stimulus (Left, Right, Up): X,Z,Y	n/a	n/a	S 32
1517.4960000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1517.9120000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1518.4780000000	n/a	n/a	Fixation	n/a	n/a	S100
1519.4600000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1519.7720000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1520.1460000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1520.7140000000	n/a	n/a	Fixation	n/a	n/a	S100
1521.6940000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
1521.9640000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1522.3820000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
1522.9480000000	n/a	n/a	Fixation	n/a	n/a	S100
1523.8700000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1524.2640000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1524.5340000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1525.1000000000	n/a	n/a	Fixation	n/a	n/a	S100
1525.9820000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
1526.3680000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1526.7180000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1527.2860000000	n/a	n/a	Fixation	n/a	n/a	S100
1528.2360000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
1528.7000000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1529.0200000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1529.5860000000	n/a	n/a	Fixation	n/a	n/a	S100
1530.4380000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
1530.8920000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1531.1720000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1531.7380000000	n/a	n/a	Fixation	n/a	n/a	S100
1532.7700000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1533.2480000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1533.5400000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
1534.1080000000	n/a	n/a	Fixation	n/a	n/a	S100
1535.0780000000	n/a	n/a	Stimulus (Left, Right, Up): Z,Y,X	n/a	n/a	S221
1535.6760000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1535.9760000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
1536.5420000000	n/a	n/a	Fixation	n/a	n/a	S100
1537.5540000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1537.8360000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1538.2760000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1538.8440000000	n/a	n/a	Fixation	n/a	n/a	S100
1539.8560000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1540.1740000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1540.6280000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
1541.1960000000	n/a	n/a	Fixation	n/a	n/a	S100
1542.0760000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
1542.6420000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1542.9480000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1543.5140000000	n/a	n/a	Fixation	n/a	n/a	S100
1544.3860000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
1544.8220000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1545.2320000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1545.8000000000	n/a	n/a	Fixation	n/a	n/a	S100
1546.7300000000	n/a	n/a	Stimulus (Left, Right, Up): Z,X,Y	n/a	n/a	S212
1547.1580000000	n/a	n/a	Response: Right	n/a	n/a	S  3
1547.5680000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1548.1340000000	n/a	n/a	Fixation	n/a	n/a	S100
1549.0860000000	n/a	n/a	Stimulus (Left, Right, Up): X,Y,Z	n/a	n/a	S 23
1549.5180000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1549.8520000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1550.4200000000	n/a	n/a	Fixation	n/a	n/a	S100
1551.3300000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
1551.7140000000	n/a	n/a	Response: Up	n/a	n/a	S  1
1551.9880000000	n/a	n/a	Feedback Loss: "~"	n/a	n/a	S  6
1552.5540000000	n/a	n/a	Fixation	n/a	n/a	S100
1553.5560000000	n/a	n/a	Stimulus (Left, Right, Up): Y,X,Z	n/a	n/a	S113
1553.9860000000	n/a	n/a	Response: Left	n/a	n/a	S  2
1554.2900000000	n/a	n/a	Feedback Win: "+1"	n/a	n/a	S  5
1554.8560000000	n/a	n/a	Fixation	n/a	n/a	S100
1555.8680000000	n/a	n/a	Stimulus (Left, Right, Up): Y,Z,X	n/a	n/a	S131
